year,subject,number,question,pass,dis
112,英語,2,2. Dennis enjoys in public. He is proud of his beautiful voice.(A) dancing (B) drawing (C) shopping (D) singing,0.73,0.67
112,英語,3,"3. Mrs. Johnson can’t hear very well. If you need to talk to her, you must .(A) explain (B) hurry (C) listen (D) shout",0.71,0.68
112,英語,4,4. People got very excited when they watched Ms. Smith at the party.(A) danced (B) dancing (C) has danced (D) to dance,0.6,0.57
112,英語,5,"5. I tried on these shoes in several different , and I thought the white pair looked best on me.(A) colors (B) prices (C) shapes (D) sizes",0.72,0.63
112,英語,6,6. Rex did not feel the earthquake this morning. He in the park at the time.(A) jogged (B) was jogging (C) has jogged (D) would jog,0.76,0.57
112,英語,7,7. Mr. Lee has worked in the same store for ten years; he’s never thought about his job.(A) changing (B) finding (C) remembering (D) starting,0.72,0.68
112,英語,8,8. I didn’t take the bus today because it was . All the seats were taken and a lot ofstudents were standing.(A) dirty (B) fast (C) full (D) wrong,0.74,0.65
112,英語,9,"9. Don’t go away when you’re cooking, the food might burn.(A) but (B) if (C) or (D) so",0.64,0.71
112,英語,10,"10. Jerry wanted to know he was kicked off the soccer team, but no one gave him agood reason.(A) where (B) when (C) whether (D) why",0.65,0.67
112,英語,11,"11. Jenny is already forty, doesn’t have a job and often makes trouble for her parents. To them,she is really a(n) .(A) daughter (B) example (C) gift (D) headache",0.65,0.7
112,英語,12,"12. Ed and Jill camping this weekend, so they have to finish their homework by Friday.(A) went (B) were going (C) are going (D) have gone",0.63,0.61
112,英語,13,"13. Doraemon, a blue Japanese robot cat, has hated mice since his ears by a mouse.(A) bit (B) bite (C) were bitten (D) have bitten",0.58,0.56
112,英語,14,"14. If we play some interesting games in class, there more fun in learning English.(A) are (B) has (C) will be (D) will have",0.62,0.48
112,英語,15,15. The of this shop was so bad; I never got any answer after I emailed them my questions.(A) item (B) business (C) price (D) service,0.58,0.7
112,英語,16,"16. It’s not easy to see those islands clearly from here on sunny days, and it’s even lessto see them on cloudy days.(A) difficult (B) lucky (C) possible (D) special",0.52,0.61
112,英語,17,"17. Do you remember the CD I was looking for for months? I found it in a small shop.Look, here it is!(A) almost (B) even (C) finally (D) still",0.63,0.68
112,英語,18,18. Business at Jane’s shop has not been good these days. And the new supermarket across thestreet only makes things .(A) easier (B) worse (C) more boring (D) more convenient,0.49,0.56
112,英語,19,19. Scott wasn’t sure if the young woman before him was pulled him out of a car on fire.(A) who (B) the one (C) the one she (D) the one who,0.56,0.65
112,英語,20,20. I swimming for several years before I went to this high school. I gave it up because ofheavy schoolwork.(A) have practiced (B) am practicing (C) practiced (D) would practice,0.36,0.28
