year,subject,number,question,pass,dis
112,社會,1,1.近年來，在政府與民間的努力下，開發出米麵包、米蛋糕、米布丁、米鳳梨酥、米冰淇淋等新米食。上述作法最可能達成下列何項效益？(A)降低稻米生產成本(B)減少水稻耕作人力(C)減輕稻米過剩壓力(D)確保米食安全管理,0.92,0.39
112,社會,2,2.交通部公路總局為了滿足部分地區民眾就學、就醫及洽公的需求，以及達成某項目的，推動「幸福巴士」政策。圖(一)為2019年8月時設有營運路線的行政區分布。根據上述及右圖資訊推論，該目的最可能為下列何者？(A)串連北中南的工業園區(B)降低高速公路的車流量(C)增加高鐵接駁的便利性(D)彌補公共運輸網的不足,0.87,0.49
112,社會,3,3.格陵蘭島位處北極圈附近，某研究針對島上居民進行「氣候變遷對人類心理影響」的抽樣調查，結果顯示大部分受訪者曾親身經歷全球暖化對生活帶來的影響，氣候變遷正為北極地區居民帶來前所未有的壓力和焦慮。下列何者最可能為當地居民擔憂的事情？(A)日益變薄的冰層讓雪橇通行變得危險(B)冰河侵蝕日漸增強導致耕地面積減少(C)海中珊瑚大量死亡造成觀光收益下滑(D)氣溫逐年變化使得冬天變長夏天變短,0.82,0.5
112,社會,4,4.表(一)為中國不同年分的人口普查部分資料。觀察表中幼年人口比例的變動，下列何者最可能是造成2010到2020年微幅變化的原因之一？表(一)單位：%年分1953196419821990200020102020年齡組成0-14歲36.2840.6933.5927.6922.8916.6017.9515-64歲59.3155.7561.5066.7470.1574.5368.5565歲以上4.413.564.915.576.968.8713.50(A)開放生育第二胎(B)實施一胎化政策(C)重男輕女觀念式微(D)嚴格限制人口移入,0.69,0.4
112,社會,5,5.清末一位知識分子提到：「今日多數的中國婦女終身只待在家中，不曾見過什麼人、沒去過其他城市、身邊沒有學習的夥伴而孤陋寡聞，只能學一些無關緊要的東西，而這些東西遠比不上有用的知識。這是因為現在還有毀壞人體的風俗，這樣的風俗沒有廢除，新式的女子學校就無法設立。這項風俗延續了數百年直到今日，是外國人眼中的笑柄。」上述「風俗」最可能是下列何者？(A)自幼纏足&剃度出家：是指剃髮並接受佛教戒律，成為僧侶。(B)吸食鴉片薙髮留辮：剃除大部分頭髮，僅在腦後編成髮辮的滿族髪式。(C)剃度出家(D)薙髮留辮,0.91,0.43
112,社會,6,6.表(二)為兩個雜誌社的成員，他們在某時期曾表(二)遭法院判刑入獄。隨著時局更迭，2019年政雜誌社成員府公告撤銷原本的有罪判決，讓他們獲得平自由中國雷震等人反。表中人員當時被判刑，最可能與下列何美麗島黃信介等人者有關？(A)受威爾遜的影響，主張民族自決(B)反對皇民化時期推動的統治措施(C)挑戰戒嚴時期對人民權利的限制(D)聲援六四天安門事件，發動遊行,0.82,0.53
112,社會,7,7.圖(二)是法國1750至2000年人民平均壽命曲線圖。下列何者最能合理解釋圖中甲、乙、丙、丁四個箭頭處，平均壽命變動的主要原因？(A)宗教改革後，教派間對立引發流血衝突(B)派遣移民前往殖民地，使國內人口減少(C)參與對外戰爭，造成青壯年人口減損(D)「經濟大恐慌」蔓延，社會嚴重失序圖(二),0.79,0.45
112,社會,8,8.李科羅是一位天主教傳教士，1655年前往廈門傳教，並得到當地統治者「國姓爺」的關照；他也為國姓爺父子擔任使者，出使菲律賓。但1663年李科羅結束使者任務返回廈門時，卻遭當地的新統治者逮捕；他擔心被送往北京，因此在洪水氾濫期間，趁亂逃亡，最後輾轉逃到臺灣。李科羅逃亡的原因，最可能與下列何者有關？(A)日本與荷蘭互相合作(B)荷蘭與西班牙互相敵對(C)鄭氏政權與英國互相合作(D)清帝國與鄭氏政權互相敵對,0.76,0.5
112,社會,9,9.我國國民在面對新冠肺炎疫情時，可透過接種疫苗來降低染疫風險，但逾期停留或逾期居留的外國人卻無法接種疫苗，一旦染疫後，可能也無法得到適當的醫療服務，甚至危及他們的生命安全，因此有民間團體呼籲政府應將這些人納入公費疫苗施打對象。後來，政府基於防疫需求與風險控管，在國內疫苗供應充足的情況下，以專案方式為這些人施打疫苗。上述民間團體的呼籲隱含下列哪一觀點？(A)公民參政權應受到重視(B)政府應得到人民定期授權(C)基本人權應受到普遍性保障(D)國家權力應受制衡以免遭濫用,0.92,0.36
112,社會,10,10.圖(三)為某島國周邊範圍的示意圖，甲(cid:20)(cid:21)(cid:15402)區塊為該國的土地，乙、丙區塊為環繞在甲周圍的海域，而丁、戊、己區塊則(cid:1176)(cid:909)分別為甲、乙、丙所對應大氣層內的空中領域。根據圖中內容判斷，該國完整(cid:908)(cid:1145)(cid:1063)(cid:961)的領土範圍應為下列何者？(cid:21)(cid:19)(cid:19)(cid:15402)(A)甲、丁(B)甲、乙、丁圖(三)(C)甲、乙、丁、戊(D)甲、乙、丙、丁、戊,0.62,0.35
