序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,圖高,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案,原題號,鑑別度,通過率
546,10生態,3能量的流動,,,,,,,,,若將某區域的原始森林育林成種植單一物種的樹林時，則此區域最可能出現下列何種變化？,,,生產者的物種數增加,消費者的物種數增加,食物網變得比較複雜,生態系變得比較不穩定,,,,,112教育會考,D,1,0.42,0.8
547,01生命世界,2動植物細胞的比較,,,,,,,,,豆腐乳為一種傳統發酵食品，其一做法是將豆腐接種毛黴菌以進行發酵，當豆腐被菌絲完全覆蓋後，再加入調味料而製成。下列有關毛黴菌構造的敘述，何者最合理？,,,不具孢子,不具粒線體,不具葉綠體,不具細胞壁,,,,,112教育會考,C,4,0.35,0.8
548,04協調,2內分泌系統,,,,,,,,,「若食物中所含的糖分容易被人體快速吸收，則會使血糖急遽上升，而引起某激素分泌增加，進而造成血糖快速下降，甚至形成餐後血糖過低的現象。」根據上述，有關此激素的敘述，下列何者正確？,,,是由肝臟分泌的胰島素,是由肝臟分泌的升糖素,是由胰島分泌的胰島素,是由胰島分泌的升糖素,,,,,112教育會考,C,8,0.51,0.66
549,10生態,3能量的流動,,,,,,,,,已知DDT是一種作為殺蟲劑的化合物，難以被生物代謝。表(二)為某地區食物鏈中甲、乙、丙、丁四種生物體內含有的DDT濃度。已知其中一種生物為生產者，根據上述，下列推論何者正確？表(二),,,食性關係可能為丙→甲→乙→丁,食性關係可能為丁→乙→甲→丙,丙生物最可能為此食物鏈中的生產者,甲生物最可能為此食物鏈中的三級消費者,,,,,112教育會考,B,14,0.5,0.56
550,03運輸,1植物的運輸,,,,,,,,,已知維管束植物可進行某種代謝作用，其反應式為：「甲+二氧化碳→氧氣+乙+水」。有關甲的名稱及其在植物體內主要運送的構造，下列何者最合理？,,,水，由木質部運送,水，由韌皮部運送,葡萄糖，由木質部運送,葡萄糖，由韌皮部運送,,,,,112教育會考,A,16,0.54,0.59
551,09分類,1命名與分類,,,,,,,,,表(四)為生物研究保育中心網頁中四種植物的部分資料，有關此四種植物在分類階層上的敘述，下列何者無法確定？表(四),,,Lil-2和Lil-3為同科的植物,Lil-2和Myr-6為同目的植物,Lil-2和Lil-1為不同屬的植物,Lil-2和Myr-6為不同屬的植物,,,,,112教育會考,B,20,0.57,0.65
552,02養分,4消化系統,,,,,,,,,圖(十三)為物質進出膜的實驗裝置，先在試管中裝入葡萄糖液，並將試管口用一層膜密封，再倒置於裝有澱粉液的燒杯中。已知葡萄糖能通過此膜，但澱粉不能通過此膜，若靜置一段時間平衡後，分別取出溶液以試劑進行檢測，則出現下列何現象最合理？,m0363,,以碘液檢測，僅試管中的溶液變色,以碘液檢測，試管和燒杯中的溶液皆變色,以本氏液檢測，僅試管中的溶液變色圖(十三),以本氏液檢測，試管和燒杯中的溶液皆變色,,,,,112教育會考,D,24,0.56,0.55
553,01生命世界,1顯微鏡,,,,,,,,,阿芳利用複式顯微鏡觀察小魚尾鰭內血液流動的方向，所觀察到的視野影像如圖(十七)所示，圖中的箭頭表示血液流動方向。若將培養皿往左緩慢地移動，則在視野中依序消失的血管，應為下列何者？,m0364,,小動脈、微血管、小靜脈,小動脈、小靜脈、微血管,小靜脈、微血管、小動脈,小靜脈、小動脈、微血管,,,,,112教育會考,C,31,0.38,0.5
554,06生殖,5植物有性生殖,,,,,,,,,圖(二十)為草莓花朵構造及其發育的示意圖，已知草莓是由花托處膨大而來，若圖(二十一)中的構造是由草莓的子房發育而成，則此構造應稱為下列何者？圖(二十)圖(二十一),m0365,,胚珠,種子,果實,花粉,,,,,112教育會考,C,35,0.49,0.36
555,06生殖,1細胞分裂與減數分裂,,,,,,,,,軟骨發育不全症是體染色體中FGFR3基因發生突變所造成，患者具有身材矮小、四肢短小變形等特徵，若親代只有其中一方為患者，子代就會有50%以上的罹病率。已知阿佑因發生突變而患有軟骨發育不全症，但其父母皆未患病，若以F代表突變的FGFR3遺傳因子，f代表正常的FGFR3遺傳因子，則關於阿佑父母基因型的推論，下列何者最合理？,,,父：Ff、母：Ff,父：Ff、母：ff,父：FF、母：FF,父：ff、母：ff,,,,,112教育會考,D,38,0.44,0.29
