年度,科目,題號,題目
112,國文,1,1.以下是一則論文摘要：「本文旨在說明臺灣國民小學至大學學生閱讀興趣與閱讀素養的關係，以及不同學齡階段的讀寫素養表現。不論年級，閱讀興趣與閱讀素養有正向關聯，然由一般學生投資於閱讀的時間反映出閱讀興趣有加強之必要。」若要以這段文字的核心概念標示一組關鍵詞，下列何者最恰當？(A)臺灣、學齡階段(B)國民小學、大學(C)正向關聯、閱讀時間(D)閱讀興趣、閱讀素養
112,國文,2,2.下列文句何者有語病？(A)他不但才華出眾，而且和藹可親(B)幸虧你事先做好準備，否則災情慘重(C)原來他有難言之隱，難怪總是愁眉不展(D)與其讓你在事後落淚，難道讓你犯錯懊悔
112,國文,3,3.「彎曲的生命旅路，常常會被安排與許多人與事錯身而過甲甲有些注定是淡漠的乙乙並淪為遺忘丙丙有些則產生強烈衝擊丁丁終至刻骨銘心。」這段文字中的甲、乙、丙、丁四處，何者最適合使用標點符號中的分號？(A)甲(B)乙(C)丙(D)丁
112,國文,4,4.下列文句，何者語詞使用最恰當？(A)你到底看見了什麼？豈非這樣驚訝(B)並非我與他相識，這件事絕不可能善罷甘休(C)你所說的無非是老生常談，他哪裡聽得進去(D)若非我故意和你唱反調，實在是你的做法不合理
112,國文,5,5.下列選項「」中的字，何組讀音相同？(A)「迄」今未成／「屹」立不搖(B)金鑲玉「嵌」／命運「坎」坷(C)寂「寥」冷清／「謬」誤百出(D)千叮萬「囑」／引人「矚」目
112,國文,6,6.「齒」的甲骨文字形是□□字，看起來像張口見齒的樣子。小篆字形在上部增加了「止」字，用「止」表示聲音，至此變成了□□字。這段文字的空格處，依序應填入何種造字原則？(A)象形／會意(B)指事／形聲(C)象形／形聲(D)指事／會意
112,國文,7,7.「上個世代對於永續住宅的普遍想像，總是不出屋頂上鋪滿太陽能板、隨意利用各種回收廢棄物蓋成的缺乏整體感的建築物。許多這類大剌剌表現出『友善地球』的建築物，也因此極易成為建築純粹主義者嘲弄的對象。他們語帶不屑地認為，這簡直是以粗鄙的解決手法打敗了高尚審美觀。」根據這段文字，下列哪一種住宅的特點最符合「建築純粹主義者」的主張？(A)符合審美要求(B)講求永續發展(C)呈現建材原貌(D)滿足居住需求
112,國文,8,8.「陰刻」是在平面上刻出凹陷的立體線條，凹陷下去的字是「陰文」。「陽刻」則是在平面上保留凸出的立體線條，將其餘部分刻除，凸出來的字是「陽文」。據此判斷，下列何者是陽刻隸書章蓋在白紙上顯示出的樣子？(A)(B)(C)(D)
112,國文,9,9.小平欲致贈匾額祝賀下列四個單位，匾額上所使用的題辭何者不恰當？單位題辭(A)美滿家具店版築有功(B)幸福大飯店貴客盈門(C)健康醫院仁心仁術(D)快樂國小桃李滿門
112,國文,10,10.「夏七月，赤日停天，亦無風，亦無雲。前後庭赫然如洪爐，無一鳥敢來飛。汗出遍身，縱橫成渠。置飯於前，不可得吃。呼簟欲臥地上，則地濕如膏，蒼蠅又來緣頸附鼻，驅之不去。正莫可如何，忽然疾澍澎湃之聲，如數百萬金鼓。簷溜浩於瀑布。身汗頓收，地燥如掃，蒼蠅盡去，飯便得吃。不亦快哉！」根據這段文字，作者心情轉變的關鍵最可能是下列何者？(A)發現美麗的景致(B)遠離擾人的蟲蠅(C)聽見悅耳的鼓聲(D)驟降消暑的大雨
112,國文,11,11.下列文句，何者用字完全正確？(A)大考將近，更要懂得善用索碎的時間(B)來到默生的環境不免會令人感到緊張(C)我忘了帶錢，拜託你先幫我代墊報名費(D)這項工程是讓我國邁向現代化的里程盃
112,國文,12,12.「少室周為趙簡子之右，聞牛談有力，請與之競，弗勝，致右焉。簡子許之，12使少室周為宰，曰：『知賢而讓，可以為訓矣。』」根據文意脈絡，下列何者最適合用來說明「訓」字的意義？(A)典範(B)順從1.右：職官名，立君主之右，擔任保衛工作(C)教誨(D)解釋
112,國文,13,13.「茲鄭引輦上高梁而不能支。茲鄭倚轅而歌，前者止，後者趨，輦乃上。使茲鄭12無術以致人，則身雖絕力至死，輦猶不上也。今身不至勞苦而輦以上者，有術以致人之故也。」這段文字的主旨最可能是下列何者？(A)團結就是力量(B)做事要講究方法1.輦：古時用人拉著走的車(C)堅持到底才能成功2.梁：橋(D)沒有付出就沒有收穫
112,國文,14,14.下列文句「」中的詞語，何者使用最恰當？(A)寵物一生病就丟棄的人，真是「若即若離」(B)他缺乏耐性，總是「急公好義」，莽莽撞撞(C)經過這次教訓後，他「幡然悔悟」，痛改前非(D)期末將近，大家都「庸庸碌碌」，忙得不可開交
112,國文,15,15.甲：花寒懶發鳥慵啼，信馬閑行到日西。何處未春先有思？柳條無力魏王堤。――白居易〈魏王堤〉乙：陰陰溪曲綠交加，小雨翻萍上淺沙。鵝鴨不知春去盡，爭隨流水趁桃花。――晁沖之〈春日〉關於這兩首詩的分析，下列敘述何者最恰當？(A)甲詩描寫清晨春寒料峭的景象(B)乙詩描寫春末溪邊所見的景致(C)兩詩首二句皆對仗，表達情思(D)兩詩皆屬七絕，只有偶句用韻
112,國文,16,16.「蓋天下有反覆之小人，亦有反覆之君子。人但知不反覆不足以為小人，庸知不反覆亦不足以為君子。蓋小人之反覆也，因風氣勢利之所歸，以為變動；君子之反覆也，因學識之層累疊進，以為變動。其反覆同，其所以為反覆者不同。」根據這段文字，作者認為「不反覆亦不足以為君子」的原因，最可能是下列何者？(A)小人若洗心革面，一反前非即可成為君子(B)為應對小人反覆，不得不改變既有的策略(C)順應民心的向背，選擇最適合現況的做法(D)隨著所知的增長，會修正自己原本的觀點
112,國文,17,17.以上是根據聯合國《2019年永續發展目標報告》製作的圖表。下列關於圖表內容的推論，何者最不恰當？(A)甲：82%的全球女性未曾遭受來自伴侶的身體或性暴力(B)乙：全球女性在職場上擔任管理職位的比例較男性少(C)丙：全球女性的參政比例有所提升，但仍為少數(D)丁：2018年至少有30%的20至24歲南亞女性結過婚
112,國文,18,18.「商代人只在上、下午各吃一餐，因為農業社會耕作頗費體力，早上需好好補充精力，下午因太陽將西下，無法再工作，不如早睡早起，故不必吃得多。春秋晚期以來，隨著牛耕鐵器的廣泛使用，尤其是戰國時代鐵器的普及，生產力大大提高。社會的面貌起了很大的變化，人們的生活內容漸漸豐富起來，許多人開始在夜間從事非生產性的工作，富人娛樂活動增加，便多一餐以補充體力。」根據這段文字，古人從兩餐變成三餐的原因，與下列何者最不相關？(A)社會形態改變(B)夜間活動增加(C)耕作時間延長(D)鐵器廣泛使用
112,國文,19,19.「傳統布農族社會在舉行重大的祭儀活動前，族人會聚集在一起用木杵搗米準備製作小米酒，發現不同的木杵會產生不同的聲響，因而將其作為合奏的樂器。後來每當族人聽到杵音傳來，就知道最近聚落即將舉辦慶典，杵音也因而具有傳遞訊息的功能。」根據這段文字，下列關於傳統布農族社會的推論，何者最恰當？(A)舉行重大慶典需要小米酒(B)透過傳遞木杵來交換訊息(C)依祭儀種類飲用不同的米酒(D)以整齊的杵音宣告祭儀開始
112,國文,20,20.蘇軾〈西江月〉：「世事一場大夢，人生幾度新涼？夜來風葉已鳴廊，看取眉頭鬢上。酒賤常愁客少，月明多被雲妨。中秋誰與共孤光，把盞淒然北望。」下列關於詞句的說明，何者最不恰當？(A)「看取眉頭鬢上」表達自己年華老去(B)「酒賤常愁客少」意謂難以維持生計(C)「月明多被雲妨」比喻美好的事物不可能長久(D)「中秋誰與共孤光」流露想與親友團聚的心願
112,國文,21,21.1866至1900年甲國茶葉出口歐洲略表單位：萬擔年分出口總額年分出口總額1866120188624018691501889187187217018921621879198189715318822011900120說明：1866至1886年間，甲國茶葉出口逐年大幅增長。歐洲國家茶葉生產技術發展起來後，甲國茶葉出口總額急轉直下。從1886至1900的十五年間，甲國茶葉出口銳減，在歐洲茶葉市場的占有率也從原本幾乎100%，急遽下降至10%左右。根據這份表格及說明，可以推論出下列何者？(A)甲國的茶葉生產技術在1886年後越來越差(B)1900年歐洲茶葉市場總交易量較1886年少(C)1900年甲國茶葉出口歐洲總額衰退至1886年的50%(D)1866至1900年間，甲國從茶葉出口國變成茶葉進口國
112,國文,22,22.「復北上，行石罅中，石峰片片夾起，路宛轉石間，塞者鑿之，陡者級之，斷者架木通之，懸者植梯接之。下瞰峭壑陰森，楓松相間，五色紛披，燦若圖繡。因念黃山當生平奇覽，而有奇若此，前未一探，茲遊快且愧矣！」根據這段文字，下列敘述何者最恰當？(A)作者對自己破壞自然環境感到慚愧(B)黃山片片石峰色彩繽紛，有如織錦(C)作者北上舊地重遊，乃因懷念黃山冬季美景(D)此遊窺得黃山奇景，作者心中因而喜愧交集
112,國文,23,23.往歲士人多尚對偶為文，穆脩、張景輩始為平文，當時謂之古文。穆、張嘗同造朝，適見有奔馬踐死一犬，二人各記其事。穆脩曰：「馬逸，有黃犬1遇蹄而斃。」張景曰：「有犬死奔馬之下。」時文體新變，二人之語皆拙澀，當時已謂之工，傳之至今。根據這段文字，關於穆脩、張景針對奔馬踐死一犬的記事，下列敘述何者最恰當？(A)穆脩記事只著眼於犬(B)張景記事只著眼於馬1.逸：奔跑(C)二人用語崇尚句式對偶(D)二人用語皆為時人稱頌
112,國文,24,24.「錢塘江石堤為洪濤所激，歲歲摧決。杜偉長為轉運使，人有獻說，自浙江稅場以東，移退數里為月堤，以避怒水。眾水工皆以為善，獨一老水工以為不然，密諭其黨：『移堤則歲無水患，吾等何所衣食？』眾人樂其利，乃從而和之。偉長不悟其計，費以巨萬，而江堤之害仍歲有之。」根據這段文字，下列敘述何者最恰當？(A)月堤耗時過久，使杜偉長浪費公帑(B)水工們為保生計，阻礙了移堤工程(C)老水工深知修築月堤無益於防堵水患(D)杜偉長堅持移堤，導致年年發生水患
112,國文,25,25.根據本詩，下列敘述何者最恰當？(A)第一節顯示車行至八堵之後天氣不佳(B)第二節說明作者此行目的地是暖暖(C)第三節可看出那那社名稱的由來(D)第四節點出作者珍惜當下的心境
112,國文,26,26.關於本詩的寫作手法，下列敘述何者錯誤？(A)以天氣的變化象徵越來越沉重的心情(B)以重複出現的字詞形成詩歌的韻律(C)運用諧音及詞義的雙關增添詩意(D)預想尚未發生的情景收束全詩
112,國文,27,27.根據圖文，下列關於跳水比賽的敘述，何者最恰當？(A)入水時水花的大小會影響分數高低(B)史上第一場跳水比賽是在室內舉行(C)奧運比賽的雙人賽必須配置7名評審(D)使用跳板起跳就可以獲得比較高的分數
112,國文,28,28.根據圖文，下列關於跳水比賽規則的敘述，何者最恰當？(A)毋須採計每一跳的得分，可擇優計算最後成績(B)選手完成一次跳水，每名評審最高只能給10分(C)若完成的動作比預定的難度更高，分數也會越高(D)選手每一跳須完成的難度係數，由現場抽籤決定
112,國文,29,29.亞當是奧運跳水個人賽選手，他在比賽時某次的動作難度係數是3.0，當他完成後，評審團給的分數表如下：評審一評審二評審三評審四評審五評審六評審七7分8分8分7分9分7分9分根據圖文，亞當此次跳水得分的計算方式應是下列何者？(A)(7+7+7)×3.0(B)(7+7+8)×3.0(C)(7+8+8)×3.0(D)(8+7+9)×3.0
112,國文,30,30.文中「活著的時候就心甘情願把自己埋進納骨塔」的涵義，與下列何者最接近？(A)獲得精神食糧，沉浸書堆(B)倡導終身學習，推廣閱讀(C)喪失生命熱情，心如死灰(D)甘心隱姓埋名，不慕榮利
112,國文,31,31.關於本文的寫作手法，下列敘述何者最恰當？(A)藉由宏偉的建築，對比個人的渺小(B)以不同年齡層的閱讀習慣，凸顯世代差異(C)將靜態的閱讀比擬為交談，產生動態的效果(D)視線推移自室內延伸至室外，強調知識的寬廣
112,國文,32,32.根據甲、乙兩文，下列敘述何者最恰當？(A)1880年代剛果曾提出瓜分非洲礦產的主張(B)月球大使館公司成立時，人類尚未踏上月球(C)沒人能挑戰霍普販賣月球地產是因《太空政策》期刊的論文(D)國家需實際登陸月球後，方可成為《外太空條約》的締約國
112,國文,33,33.小貞讀過甲、乙兩文後，發現甲文中的霍普與乙文中的艾維斯對某項議題有歧見，這項議題最可能是下列何者？(A)太空探索是否應以和平進行為原則(B)國家是否可以獨占有利的登月地點(C)私人是否可以主張月球土地的所有權(D)非締約國是否可以破壞他國的探測器
112,國文,34,34.根據本文，下列敘述何者最恰當？(A)「智慧家庭」的數據資料庫能保護網路隱私(B)網路上的瀏覽紀錄、按讚喜好具有商業價值(C)只要設好高強度的密碼，就不用擔心個資外洩(D)「優化人工智慧」是指電腦全面取代人類工作
112,國文,35,35.下列何者最符合本文的觀點？(A)廣告客製化意謂著消費者主導了市場走向(B)生活中使用網路服務，其實是用隱私換來的(C)企業與政府受到輿論壓力而開始保護個人資料(D)科技日新月異，可以保護我們的隱私不受侵犯
112,國文,36,36.根據本文，拿破崙選擇在巴黎聖母院加冕的原因，最可能是下列何者？(A)仿效查理曼大帝的做法(B)承襲歷代法國王室的傳統(C)強調自己是新帝國的開創者(D)希望由教皇而非蘭斯大主教加冕
112,國文,37,37.根據本文，大衛選擇採用拿破崙為約瑟芬加冕的畫面，原因最可能是下列何者？(A)強調皇后的重要性(B)避免損及教廷顏面(C)滿足拿破崙的虛榮(D)聽從拿破崙的指示
112,國文,38,38.小銘畫了以下這張〈拿破崙的加冕禮〉的模擬圖，根據本文對雅克路易．大衛原畫的描述，小銘的模擬圖與原畫相比後有明顯的錯誤，下列何者最可能是這個錯誤？(A)十字架擺放的位置(B)拿破崙加冕的對象(C)教皇給予祝福的手(D)拿破崙母親的出席
112,國文,39,39.根據本文，下列何者最可能是仇鸞與嚴嵩一開始交惡的原因？1.內：宮廷(A)嚴嵩私下上奏，詆毀仇鸞(B)嚴嵩與曾銑結盟，疏遠仇鸞(C)仇鸞向皇帝稟告嚴嵩父子的罪行(D)仇鸞權位日重，不願嚴嵩仍以子視之
112,國文,40,40.下列文句的解說，何者最恰當？(A)門者以非詔旨格之：守門者將徐階、李本擋下(B)嵩還第，父子對泣：嚴嵩與仇鸞兩人盡釋前嫌(C)炳訐鸞陰事，帝追戮之：皇帝認為陸炳毀謗死者，憤而殺之(D)遣所乘龍舟過海子召嵩：皇帝以高規格召回嚴嵩，以示禮遇
112,國文,41,41.根據本文，關於梁王與楊朱的敘述，下列何者最恰當？(A)梁王認為治理天下應重視禮樂之道(B)梁王質疑楊朱是否具有治理天下的能力(C)楊朱貶抑堯、舜，能治天下卻不能牧羊(D)楊朱以牧羊為例，說明治天下須從小事做起
112,國文,42,42.下列文句，何者最能呼應文中「吞舟之魚，不游支流；鴻鵠高飛，不集汙池」的涵義？(A)狡兔死，良狗烹；高鳥盡，良弓藏(B)高飛之鳥，死於美食；深泉之魚，死於芳餌(C)騏驥千里，一日而達；駑馬十駕，旬亦至之(D)剖三寸之蚌，難得明月之珠；探枳棘之巢，難求鳳凰之雛
112,英語,1,1. Look at the picture. The man is holding a of grapes in his hands.(A) bag(B) basket(C) bowl(D) box
112,英語,2,2. Dennis enjoys in public. He is proud of his beautiful voice.(A) dancing (B) drawing (C) shopping (D) singing
112,英語,3,"3. Mrs. Johnson can’t hear very well. If you need to talk to her, you must .(A) explain (B) hurry (C) listen (D) shout"
112,英語,4,4. People got very excited when they watched Ms. Smith at the party.(A) danced (B) dancing (C) has danced (D) to dance
112,英語,5,"5. I tried on these shoes in several different , and I thought the white pair looked best on me.(A) colors (B) prices (C) shapes (D) sizes"
112,英語,6,6. Rex did not feel the earthquake this morning. He in the park at the time.(A) jogged (B) was jogging (C) has jogged (D) would jog
112,英語,7,7. Mr. Lee has worked in the same store for ten years; he’s never thought about his job.(A) changing (B) finding (C) remembering (D) starting
112,英語,8,8. I didn’t take the bus today because it was . All the seats were taken and a lot ofstudents were standing.(A) dirty (B) fast (C) full (D) wrong
112,英語,9,"9. Don’t go away when you’re cooking, the food might burn.(A) but (B) if (C) or (D) so"
112,英語,10,"10. Jerry wanted to know he was kicked off the soccer team, but no one gave him agood reason.(A) where (B) when (C) whether (D) why"
112,英語,11,"11. Jenny is already forty, doesn’t have a job and often makes trouble for her parents. To them,she is really a(n) .(A) daughter (B) example (C) gift (D) headache"
112,英語,12,"12. Ed and Jill camping this weekend, so they have to finish their homework by Friday.(A) went (B) were going (C) are going (D) have gone"
112,英語,13,"13. Doraemon, a blue Japanese robot cat, has hated mice since his ears by a mouse.(A) bit (B) bite (C) were bitten (D) have bitten"
112,英語,14,"14. If we play some interesting games in class, there more fun in learning English.(A) are (B) has (C) will be (D) will have"
112,英語,15,15. The of this shop was so bad; I never got any answer after I emailed them my questions.(A) item (B) business (C) price (D) service
112,英語,16,"16. It’s not easy to see those islands clearly from here on sunny days, and it’s even lessto see them on cloudy days.(A) difficult (B) lucky (C) possible (D) special"
112,英語,17,"17. Do you remember the CD I was looking for for months? I found it in a small shop.Look, here it is!(A) almost (B) even (C) finally (D) still"
112,英語,18,18. Business at Jane’s shop has not been good these days. And the new supermarket across thestreet only makes things .(A) easier (B) worse (C) more boring (D) more convenient
112,英語,19,19. Scott wasn’t sure if the young woman before him was pulled him out of a car on fire.(A) who (B) the one (C) the one she (D) the one who
112,英語,20,20. I swimming for several years before I went to this high school. I gave it up because ofheavy schoolwork.(A) have practiced (B) am practicing (C) practiced (D) would practice
112,英語,21,21. Frank Kane is so good in the movie that many people he will win the best actor prize.(A) expect (B) forget (C) notice (D) plan
112,英語,22,22. The new medicine that just came out on the market thousands of lives.(A) and saved (B) has saved (C) saving (D) to save
112,英語,23,"23. Now I often think of those days with Pip, my pet dog. When I read in my room, hequietly beside me.(A) will come and sit (B) comes and sits (C) has come and sat (D) used to come and sit"
112,英語,24,"24. Amy went to Four Seasons’ Kitchen with her mother after she collected 15 stars. Theyordered two Garden Sandwiches, an Autumn Wind, and a Winter Snow. After using thestars, how much did they pay for their meals?(A) $290. (B) $230. (C) $220. (D) $160."
112,英語,25,"25. Amy wants to bring her friends to Four Seasons’ Kitchen in August. She looks at hercalendar to pick a time to go there. Which are the time and date she calendar 月曆can choose?(A) 8:30 pm, August 1.(B) 5:00 pm, August 11.(C) 3:00 pm, August 13.(D) 2:00 pm, August 28."
112,英語,26,"26. According to the notes, which is the WRONG way to help a baby bird that is out of its nest?(A) Feed it before you take it to a hospital.(B) Leave it alone if it is not hurt and has feathers.(C) Call the animal center if you can’t find its nest.(D) Put it back in its nest if it is not hurt and has few feathers."
112,英語,27,"27. According to the notes, what do birds do if their babies have the smell of people on them?(A) They keep taking care of them.(B) They push them out of the nest.(C) They clean them until the smell goes away.(D) They leave them behind and move to a new nest."
112,英語,28,"28. According to the reading, which is one of the reasons for food waste?(A) Stores do not know how to pack food well.(B) Farmers do not have enough machines to collect food.(C) There is no refrigerator on the truck to keep food fresh.(D) Factories do not have enough trucks to carry food to stores."
112,英語,29,"29. Which is true about food waste at each stage in the three parts of the world?(A) For each area, the highest percentage of food waste happens at Stage 5.(B) Europe has a lower percentage of food waste at Stage 3 than the other two areas.(C) North America & Oceania has a higher percentage of food waste at Stage 1 thanEurope.(D) South & Southeast Asia has a higher percentage of food waste at Stage 4 than the"
112,英語,30,30. What is the trick that the mosquito uses in rain?(A) It shakes its body fast enough to get water off.(B) It drops with the raindrop and then rolls off it.(C) It flies behind the raindrop and pushes it away.(D) It rides on the raindrop and lands on the ground.
112,英語,31,31. What keeps a mosquito safe in the rain?(A) It is very light.(B) It has no body hairs.(C) It is as big as a raindrop.(D) It is strong enough to fight the force of a raindrop.
112,英語,32,32. When would it be dangerous for a mosquito in the rain?(A) When it flies too close to the ground.(B) When the rain falls too hard and too fast.(C) When it is hit by raindrops too many times.(D) When it drops for more than 6 cm in the rain.
112,英語,33,33. What do the three stories in the reading all talk about?(A) Who Beethoven’s true love was.(B) Who played “For Elise” the best.(C) How “For Elise” became popular.(D) Why Beethoven wrote “For Elise.”
112,英語,34,34. What do we know about “For Elise” from the reading?(A) It first appeared in the opera Fidelio.(B) The true “Elise” was Elise Barensfeld.(C) The manuscript was found after Beethoven died.(D) The manuscript is now kept by the city of Vienna.
112,英語,35,35. What can we learn about the three women from the stories?(A) They were called “Elise” by their friends.(B) Elisabeth Röckel was a close friend of Beethoven’s.(C) Therese Malfatti changed “For Elise” to “For Therese.”(D) Elise Barensfeld was Beethoven’s student.
112,英語,36,36. What idea does Jesse Cohen talk about in the reading?(A) Not all kinds of toys are helpful for children’s learning.(B) Parents should give their children the right toys for their age.(C) Children should learn about their gender from playing with toys.(D) We should not let gender decide which toys children can play with.
