year,subject,number,question,pass,dis
112,自然,1,1.若將某區域的原始森林育林成種植單一物種的樹林時，則此區域最可能出現下列何種變化？(A)生產者的物種數增加(B)消費者的物種數增加(C)食物網變得比較複雜(D)生態系變得比較不穩定,0.8,0.42
112,自然,2,2.在太魯閣地區常見到岩層或岩石受力而彎曲成美麗圖案，如圖(一)所示。這種彎曲的現象稱為下列何者？(A)斷層(B)褶皺(C)順向坡(D)逆向坡,0.85,0.44
112,自然,3,3.圖(二)為自製運動飲料的成分說明圖，圖中X所指應為下列何類物質？(A)醣類(B)有機酸(C)蛋白質(D)電解質,0.93,0.33
112,自然,4,4.豆腐乳為一種傳統發酵食品，其一做法是將豆腐接種毛黴菌以進行發酵，當豆腐被菌絲完全覆蓋後，再加入調味料而製成。下列有關毛黴菌構造的敘述，何者最合理？(A)不具孢子(B)不具粒線體(C)不具葉綠體(D)不具細胞壁,0.8,0.35
112,自然,5,5.圖(三)為某港口8/11～8/14的潮汐變化圖，根據圖中資訊判斷，8/11的潮差與8/14的潮差約相差多少公尺？(A)2(B)4(C)5(D)8,0.78,0.46
112,自然,6,6.阿東進行「水溫與加熱時間的關係」實驗，其裝置如圖(四)所示。老師看到實驗裝置後，建議他改善測量水溫的方式，阿東進行下列哪一個改善方式最合適？(A)將溫度計懸吊在水中，不接觸杯底(B)調整支架使酒精燈的火焰靠近溫度計(C)拿溫度計攪拌杯中的水，使水溫均勻(D)將酒精燈的酒精裝滿，使火焰大小固定,0.83,0.41
112,自然,7,7.氫氣因燃燒過程不會產生二氧化碳，是能源轉型的目標之一。依據製造方法的不同，可將氫氣分成幾類，其中四類如表(一)所示。在減碳環保的要求下，期望產生的氫氣要盡量是綠氫。表(一)依據表中資訊，下列說明何者最合理？(A)褐氫和灰氫在製造過程會使用化石燃料，而藍氫和綠氫皆沒有(B)將風力發電所產生的電能，用來電解水而產生的氫氣屬於綠氫(C)褐氫和灰氫作為燃料，在燃燒過程需要氧氣，而藍氫和綠氫則不用(D)氫氣被分成表中的四類顏色，主要是依據製造過程消耗掉的電能多寡來分類,0.78,0.52
112,自然,8,8.「若食物中所含的糖分容易被人體快速吸收，則會使血糖急遽上升，而引起某激素分泌增加，進而造成血糖快速下降，甚至形成餐後血糖過低的現象。」根據上述，有關此激素的敘述，下列何者正確？(A)是由肝臟分泌的胰島素(B)是由肝臟分泌的升糖素(C)是由胰島分泌的胰島素(D)是由胰島分泌的升糖素,0.66,0.51
112,自然,9,9.舞臺劇演出時，通常會讓周遭的環境昏暗，再用聚光燈來照射演員，讓觀眾能看見演員的表演。有關觀眾能看見演員表演的敘述，下列何者最合理？(A)聚光燈發出的光線照射在演員上，演員吸收這些光線，因此觀眾能看見演員(B)聚光燈發出的光線照射在演員上，演員折射這些光線，因此觀眾能看見演員(C)聚光燈發出的光線照射在演員上，演員反射這些光線，因此觀眾能看見演員(D)觀眾眼睛發出的光線照射在演員上，演員折射這些光線，因此觀眾能看見演員,0.68,0.54
112,自然,10,10.圖(五)為網友分享的海蝕平臺與火成岩脈照片，有研究指出此地的火成岩脈是岩漿侵入原有的岩層而形成，由於火成岩脈抵抗海水侵蝕的能力較原有的岩層強，因此會像牆一樣，立於海蝕平臺之上。根據上述說明，下列有關此地的火成岩脈、平臺上原有的岩層以及海水侵蝕作用的發生先後順序，何者最合理？圖(五)(A)火成岩脈最先形成，岩層再沉積，最後海水侵蝕(B)岩層最先沉積，火成岩脈再形成，最後海水侵蝕(C)海水最先侵蝕，岩層再沉積，最後火成岩脈形成(D)火成岩脈最先形成，海水再侵蝕，最後岩層沉積,0.71,0.54
