year,subject,number,question,pass,dis
112,國文,1,1.以下是一則論文摘要：「本文旨在說明臺灣國民小學至大學學生閱讀興趣與閱讀素養的關係，以及不同學齡階段的讀寫素養表現。不論年級，閱讀興趣與閱讀素養有正向關聯，然由一般學生投資於閱讀的時間反映出閱讀興趣有加強之必要。」若要以這段文字的核心概念標示一組關鍵詞，下列何者最恰當？(A)臺灣、學齡階段(B)國民小學、大學(C)正向關聯、閱讀時間(D)閱讀興趣、閱讀素養,0.85,0.31
112,國文,2,2.下列文句何者有語病？(A)他不但才華出眾，而且和藹可親(B)幸虧你事先做好準備，否則災情慘重(C)原來他有難言之隱，難怪總是愁眉不展(D)與其讓你在事後落淚，難道讓你犯錯懊悔,0.83,0.39
112,國文,3,3.「彎曲的生命旅路，常常會被安排與許多人與事錯身而過甲甲有些注定是淡漠的乙乙並淪為遺忘丙丙有些則產生強烈衝擊丁丁終至刻骨銘心。」這段文字中的甲、乙、丙、丁四處，何者最適合使用標點符號中的分號？(A)甲(B)乙(C)丙(D)丁,0.75,0.47
112,國文,4,4.下列文句，何者語詞使用最恰當？(A)你到底看見了什麼？豈非這樣驚訝(B)並非我與他相識，這件事絕不可能善罷甘休(C)你所說的無非是老生常談，他哪裡聽得進去(D)若非我故意和你唱反調，實在是你的做法不合理,0.75,0.51
112,國文,5,5.下列選項「」中的字，何組讀音相同？(A)「迄」今未成／「屹」立不搖(B)金鑲玉「嵌」／命運「坎」坷(C)寂「寥」冷清／「謬」誤百出(D)千叮萬「囑」／引人「矚」目,0.67,0.43
112,國文,6,6.「齒」的甲骨文字形是□□字，看起來像張口見齒的樣子。小篆字形在上部增加了「止」字，用「止」表示聲音，至此變成了□□字。這段文字的空格處，依序應填入何種造字原則？(A)象形／會意(B)指事／形聲(C)象形／形聲(D)指事／會意,0.6,0.19
112,國文,7,7.「上個世代對於永續住宅的普遍想像，總是不出屋頂上鋪滿太陽能板、隨意利用各種回收廢棄物蓋成的缺乏整體感的建築物。許多這類大剌剌表現出『友善地球』的建築物，也因此極易成為建築純粹主義者嘲弄的對象。他們語帶不屑地認為，這簡直是以粗鄙的解決手法打敗了高尚審美觀。」根據這段文字，下列哪一種住宅的特點最符合「建築純粹主義者」的主張？(A)符合審美要求(B)講求永續發展(C)呈現建材原貌(D)滿足居住需求,0.74,0.52
112,國文,8,8.「陰刻」是在平面上刻出凹陷的立體線條，凹陷下去的字是「陰文」。「陽刻」則是在平面上保留凸出的立體線條，將其餘部分刻除，凸出來的字是「陽文」。據此判斷，下列何者是陽刻隸書章蓋在白紙上顯示出的樣子？(A)(B)(C)(D),0.76,0.42
112,國文,9,9.小平欲致贈匾額祝賀下列四個單位，匾額上所使用的題辭何者不恰當？單位題辭(A)美滿家具店版築有功(B)幸福大飯店貴客盈門(C)健康醫院仁心仁術(D)快樂國小桃李滿門,0.55,0.5
112,國文,10,10.「夏七月，赤日停天，亦無風，亦無雲。前後庭赫然如洪爐，無一鳥敢來飛。汗出遍身，縱橫成渠。置飯於前，不可得吃。呼簟欲臥地上，則地濕如膏，蒼蠅又來緣頸附鼻，驅之不去。正莫可如何，忽然疾澍澎湃之聲，如數百萬金鼓。簷溜浩於瀑布。身汗頓收，地燥如掃，蒼蠅盡去，飯便得吃。不亦快哉！」根據這段文字，作者心情轉變的關鍵最可能是下列何者？(A)發現美麗的景致(B)遠離擾人的蟲蠅(C)聽見悅耳的鼓聲(D)驟降消暑的大雨,0.71,0.53
112,國文,11,11.下列文句，何者用字完全正確？(A)大考將近，更要懂得善用索碎的時間(B)來到默生的環境不免會令人感到緊張(C)我忘了帶錢，拜託你先幫我代墊報名費(D)這項工程是讓我國邁向現代化的里程盃,0.62,0.34
112,國文,12,12.「少室周為趙簡子之右，聞牛談有力，請與之競，弗勝，致右焉。簡子許之，12使少室周為宰，曰：『知賢而讓，可以為訓矣。』」根據文意脈絡，下列何者最適合用來說明「訓」字的意義？(A)典範(B)順從1.右：職官名，立君主之右，擔任保衛工作(C)教誨(D)解釋,0.7,0.55
112,國文,13,13.「茲鄭引輦上高梁而不能支。茲鄭倚轅而歌，前者止，後者趨，輦乃上。使茲鄭12無術以致人，則身雖絕力至死，輦猶不上也。今身不至勞苦而輦以上者，有術以致人之故也。」這段文字的主旨最可能是下列何者？(A)團結就是力量(B)做事要講究方法1.輦：古時用人拉著走的車(C)堅持到底才能成功2.梁：橋(D)沒有付出就沒有收穫,0.61,0.47
112,國文,14,14.下列文句「」中的詞語，何者使用最恰當？(A)寵物一生病就丟棄的人，真是「若即若離」(B)他缺乏耐性，總是「急公好義」，莽莽撞撞(C)經過這次教訓後，他「幡然悔悟」，痛改前非(D)期末將近，大家都「庸庸碌碌」，忙得不可開交,0.78,0.44
112,國文,15,15.甲：花寒懶發鳥慵啼，信馬閑行到日西。何處未春先有思？柳條無力魏王堤。――白居易〈魏王堤〉乙：陰陰溪曲綠交加，小雨翻萍上淺沙。鵝鴨不知春去盡，爭隨流水趁桃花。――晁沖之〈春日〉關於這兩首詩的分析，下列敘述何者最恰當？(A)甲詩描寫清晨春寒料峭的景象(B)乙詩描寫春末溪邊所見的景致(C)兩詩首二句皆對仗，表達情思(D)兩詩皆屬七絕，只有偶句用韻,0.69,0.48
112,國文,16,16.「蓋天下有反覆之小人，亦有反覆之君子。人但知不反覆不足以為小人，庸知不反覆亦不足以為君子。蓋小人之反覆也，因風氣勢利之所歸，以為變動；君子之反覆也，因學識之層累疊進，以為變動。其反覆同，其所以為反覆者不同。」根據這段文字，作者認為「不反覆亦不足以為君子」的原因，最可能是下列何者？(A)小人若洗心革面，一反前非即可成為君子(B)為應對小人反覆，不得不改變既有的策略(C)順應民心的向背，選擇最適合現況的做法(D)隨著所知的增長，會修正自己原本的觀點,0.67,0.59
