year,subject,number,question,pass,dis
112,自然,5,5.圖(三)為某港口8/11～8/14的潮汐變化圖，根據圖中資訊判斷，8/11的潮差與8/14的潮差約相差多少公尺？(A)2(B)4(C)5(D)8,0.78,0.46
112,自然,6,6.阿東進行「水溫與加熱時間的關係」實驗，其裝置如圖(四)所示。老師看到實驗裝置後，建議他改善測量水溫的方式，阿東進行下列哪一個改善方式最合適？(A)將溫度計懸吊在水中，不接觸杯底(B)調整支架使酒精燈的火焰靠近溫度計(C)拿溫度計攪拌杯中的水，使水溫均勻(D)將酒精燈的酒精裝滿，使火焰大小固定,0.83,0.41
112,自然,10,10.圖(五)為網友分享的海蝕平臺與火成岩脈照片，有研究指出此地的火成岩脈是岩漿侵入原有的岩層而形成，由於火成岩脈抵抗海水侵蝕的能力較原有的岩層強，因此會像牆一樣，立於海蝕平臺之上。根據上述說明，下列有關此地的火成岩脈、平臺上原有的岩層以及海水侵蝕作用的發生先後順序，何者最合理？圖(五)(A)火成岩脈最先形成，岩層再沉積，最後海水侵蝕(B)岩層最先沉積，火成岩脈再形成，最後海水侵蝕(C)海水最先侵蝕，岩層再沉積，最後火成岩脈形成(D)火成岩脈最先形成，海水再侵蝕，最後岩層沉積,0.71,0.54
112,自然,15,15.阿正閱讀一篇報導寫著：日本學者分析史前人類遺骸後，認為當時住在沖繩的史前人類很可能來自於臺灣，研究團隊為了驗證從臺灣航海遷徙的可能性，於2019年進行實驗。如圖(七)所示，阿正認為研究團隊會選在夏天進行實驗，是因為這時的洋流與季風風向有助於從臺灣航海向北至沖繩列島，進而到達日本列島。根據阿正的判斷，研究團隊進行實驗時的季風風向圖(七)與洋流應為下列何者？(A)東北季風與黑潮(B)西南季風與黑潮(C)東北季風與中國沿岸流(D)西南季風與中國沿岸流,0.74,0.56
112,自然,17,17.表(三)為四位學生對於有機化合物、無機化合物中組成元素的說明，哪一位學生的說明最合理？(A)小玉(B)小如(C)小方(D)阿德,0.6,0.59
112,自然,18,18.400米賽跑的距離剛好是室外標準跑道最內圈一圈的長度，比賽中選手需跑在自己的跑道上，因內、外圈跑道長度的差異，不同跑道的選手起跑位置需作對應調整，如圖(八)所示。在這項比賽中最先跑完400米的選手，他在比賽過程哪一項物理量的大小必高於其他所有選手？(A)平均速率(B)平均速度12(C)過程中速率的最大值345(D)過程中速度的最大值6,0.59,0.54
112,自然,19,19.如圖(九)所示，一個半圓形軌道固定在水平桌面，軌道兩端均距水平桌面高度0.5m，將一顆小球在距水平桌面高度1.0m處，由靜止自由落下滑入半圓形軌道，若不計任何摩擦力或阻力，且小球滑過軌道最低點後，向上達到最高點時的動能為0，則最高點距水平桌面高度為下列何者？(A)0.25m(B)0.5m(C)1.0m(D)1.5m,0.62,0.44
112,自然,21,21.圖(十)為太陽系中幾顆行星的比較，根據這些星球的特性來判斷，圖中的X軸與Y軸單位依序最可能為下列何者？(A)體積(cm3)、與太陽的平均距離(AU)(B)與太陽的平均距離(AU)、體積(cm3)(C)與太陽的平均距離(AU)、密度(g/cm3)(D)密度(g/cm3)、與太陽的平均距離(AU),0.54,0.53
112,自然,24,24.圖(十三)為物質進出膜的實驗裝置，先在試管中裝入葡萄糖液，並將試管口用一層膜密封，再倒置於裝有澱粉液的燒杯中。已知葡萄糖能通過此膜，但澱粉不能通過此膜，若靜置一段時間平衡後，分別取出溶液以試劑進行檢測，則出現下列何現象最合理？(A)以碘液檢測，僅試管中的溶液變色(B)以碘液檢測，試管和燒杯中的溶液皆變色(C)以本氏液檢測，僅試管中的溶液變色圖(十三)(D)以本氏液檢測，試管和燒杯中的溶液皆變色,0.55,0.56
112,自然,25,25.在超市買到的蘋果可能是幾個月前就已經採摘下來了。為了長時間保存，會在蘋果表面塗上食用蠟，減少與氧氣接觸。蘋果熟化過程會將澱粉轉成糖，過程中會需要氧氣並產生二氧化碳，所以可藉由調整蘋果存放環境的氣體比例，減緩蘋果的熟化過程，延長保存期限。上述提及調整存放環境的氣體比例，其示意圖最可能為下列何者？(A)(B)(C)(D),0.5,0.3
